"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"KPEL","K.P. Energy Limited","7(2)","Farukbhai Gulambhai Patel","Promoters","Equity Shares","29891236","44.68",,"688800","283785600","Buy","Equity Shares","30580036","45.24","21-Jan-2026","21-Jan-2026","21-Jan-2026","Conversion of security","-","-","0","0","0","0","NA","-","21-Jan-2026 23:13","https://nsearchives.nseindia.com/corporate/xbrl/IT_1193038_1607825_21012026111332_WEB.xml"
"AMEYA","Ameya Precision Engineers Limited","7(2)","BIPIN SHIRISH PANDE","Promoters","Equity Shares","1819700","24.26",,"4000","371840","Buy","Equity Shares","1823700","24.31","19-Jan-2026","19-Jan-2026","20-Jan-2026","Market Purchase","-","-","0","0","0","0","NSE","-","21-Jan-2026 20:00","https://nsearchives.nseindia.com/corporate/xbrl/IT_1193036_1607725_21012026080018_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","HCL Technologies Stock Options Trust","-","Equity Shares","7993090","0.3",,"5156","8610520","Sell","Equity Shares","7987934","0.29","16-Jan-2026","16-Jan-2026","20-Jan-2026","ESOP","-","-","0","0","0","0","NA","-","21-Jan-2026 19:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1193034_1607612_21012026070630_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","Sangamesh Vinayagamurthy","-","Equity Shares","2455","0",,"3319","5542730","Buy","Equity Shares","5774","0","16-Jan-2026","16-Jan-2026","20-Jan-2026","ESOP","-","-","0","0","0","0","NA","-","21-Jan-2026 19:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1193034_1607612_21012026070630_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","HCL Technologies Stock Options Trust","-","Equity Shares","8000542","0.3",,"7452","12433662","Sell","Equity Shares","7993090","0.3","15-Jan-2026","15-Jan-2026","19-Jan-2026","ESOP","-","-","0","0","0","0","NA","-","21-Jan-2026 19:03","https://nsearchives.nseindia.com/corporate/xbrl/IT_1193032_1607599_21012026070357_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","Thimmaiah Pandanda Changappa","-","Equity Shares","5000","0",,"2186","3647341","Buy","Equity Shares","7186","0","15-Jan-2026","15-Jan-2026","19-Jan-2026","ESOP","-","-","0","0","0","0","NA","-","21-Jan-2026 19:03","https://nsearchives.nseindia.com/corporate/xbrl/IT_1193032_1607599_21012026070357_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","Vineet Shukla","-","Equity Shares","1","0",,"1106","1845361","Buy","Equity Shares","1107","0","15-Jan-2026","15-Jan-2026","19-Jan-2026","ESOP","-","-","0","0","0","0","NA","-","21-Jan-2026 19:03","https://nsearchives.nseindia.com/corporate/xbrl/IT_1193032_1607599_21012026070357_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","Balasubramanian Kalyan Kumar","-","Equity Shares","25166","0",,"10000","17092199","Sell","Equity Shares","15166","0","19-Jan-2026","19-Jan-2026","20-Jan-2026","Market Sale","-","-","0","0","0","0","NSE","-","21-Jan-2026 18:50","https://nsearchives.nseindia.com/corporate/xbrl/IT_1193030_1607567_21012026065017_WEB.xml"
"GPECO","GP Eco Solutions India Limited","7(2)","Urmila Tripathi","Promoter Group","Equity Shares","3800","0.03",,"2200","759372","Buy","Equity Shares","6000","0.05","20-Jan-2026","21-Jan-2026","21-Jan-2026","Market Purchase","-","-","0","0","0","0","NSE","-","21-Jan-2026 18:27","https://nsearchives.nseindia.com/corporate/xbrl/IT_1193028_1607517_21012026062739_WEB.xml"
"GPECO","GP Eco Solutions India Limited","7(2)","Urmila Tripathi","Promoter Group","Equity Shares","4400","0.04",,"600","236952","Sell","Equity Shares","3800","0.03","14-Jan-2026","14-Jan-2026","19-Jan-2026","Market Sale","-","-","0","0","0","0","NSE","-","21-Jan-2026 18:27","https://nsearchives.nseindia.com/corporate/xbrl/IT_1193028_1607517_21012026062739_WEB.xml"
"GPECO","GP Eco Solutions India Limited","7(2)","Urmila Tripathi","Promoter Group","Equity Shares","2000","0.02",,"2400","956189","Buy","Equity Shares","4400","0.04","05-Jan-2026","14-Jan-2026","19-Jan-2026","Market Purchase","-","-","0","0","0","0","NSE","-","21-Jan-2026 18:27","https://nsearchives.nseindia.com/corporate/xbrl/IT_1193028_1607517_21012026062739_WEB.xml"
"GPECO","GP Eco Solutions India Limited","7(2)","Astik Mani Tripathi","Promoters","Equity Shares","360000","3.04",,"10000","3190510","Buy","Equity Shares","370000","3.13","21-Jan-2026","21-Jan-2026","21-Jan-2026","Market Purchase","-","-","0","0","0","0","NSE","-","21-Jan-2026 18:27","https://nsearchives.nseindia.com/corporate/xbrl/IT_1193028_1607517_21012026062739_WEB.xml"
"OBSCP","OBSC Perfection Limited","7(2)","Omega Bright Steel & Components Private Limited","Promoters","Equity Shares","8988600","36.76",,"34800","10756000","Buy","Equity Shares","9023400","36.9","19-Jan-2026","20-Jan-2026","20-Jan-2026","Market Purchase","-","-","0","0","0","0","NSE","-","21-Jan-2026 17:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1193026_1607275_21012026051407_WEB.xml"
"OBSCP","OBSC Perfection Limited","7(2)","Sanjeev Verma","Promoters","Equity Shares","-","0",,"4000","1222000","Buy","Equity Shares","4000","0.02","20-Jan-2026","21-Jan-2026","21-Jan-2026","Market Purchase","-","-","0","0","0","0","NSE","-","21-Jan-2026 17:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1193026_1607275_21012026051407_WEB.xml"
"ADOR","Ador Welding Limited","7(2)","DEEP ASHDA LALVANI","Promoters","Equity Shares","19489","0.11",,"100","102500","Buy","Equity Shares","19589","0.11","19-Jan-2026","19-Jan-2026","21-Jan-2026","Market Purchase","-","-","0","0","0","0","NSE","-","21-Jan-2026 16:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1193024_1607178_21012026044720_WEB.xml"
"ADOR","Ador Welding Limited","7(2)","DEEP ASHDA LALVANI","Promoters","Equity Shares","19589","0.11",,"1101","1102115","Buy","Equity Shares","20690","0.12","20-Jan-2026","20-Jan-2026","21-Jan-2026","Market Purchase","-","-","0","0","0","0","NSE","-","21-Jan-2026 16:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1193024_1607178_21012026044720_WEB.xml"
"DHARARAIL","Dhara Rail Projects Limited","7(2)","Medha Family Office LLP","Promoter Group","Equity Shares","147000","0.97",,"24000","2619096","Buy","Equity Shares","171000","1.13","20-Jan-2026","20-Jan-2026","21-Jan-2026","Market Purchase","-","-","0","0","0","0","NSE","-","21-Jan-2026 15:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1193022_1607020_21012026035132_WEB.xml"
"RILINFRA","Rachana Infrastructure Limited","7(2)","GIRISHKUMAR OCHCHHAVLAL RAVAL","Promoters","Equity Shares","5956581","32.02",,"1300","41015","Buy","Equity Shares","5957881","32.02","20-Jan-2026","20-Jan-2026","21-Jan-2026","Market Purchase","-","-","0","0","0","0","NSE","-","21-Jan-2026 15:43","https://nsearchives.nseindia.com/corporate/xbrl/IT_1193020_1607003_21012026034347_WEB.xml"
"RSYSTEMS","R Systems International Limited","7(2)","Arun Raghavapudi","Employees/Designated Employees","Equity Shares","4905","0",,"4905","1932815","Buy","Equity Shares","9810","0.01","17-Jan-2026","17-Jan-2026","19-Jan-2026","ESOP","-","-","0","0","0","0","NA","-","20-Jan-2026 20:30","https://nsearchives.nseindia.com/corporate/xbrl/IT_1193017_1606377_20012026083017_WEB.xml"
"RSYSTEMS","R Systems International Limited","7(2)","Nand Lal Sardana","Key Managerial Personnel","Equity Shares","200695","0.17",,"4905","1932815","Buy","Equity Shares","205600","0.17","17-Jan-2026","17-Jan-2026","19-Jan-2026","ESOP","-","-","0","0","0","0","NA","-","20-Jan-2026 20:30","https://nsearchives.nseindia.com/corporate/xbrl/IT_1193017_1606377_20012026083017_WEB.xml"
"RSYSTEMS","R Systems International Limited","7(2)","Avirag Jain","Employees/Designated Employees","Equity Shares","5005","0",,"4905","1932815","Buy","Equity Shares","9910","0.01","17-Jan-2026","17-Jan-2026","19-Jan-2026","ESOP","-","-","0","0","0","0","NA","-","20-Jan-2026 20:30","https://nsearchives.nseindia.com/corporate/xbrl/IT_1193017_1606377_20012026083017_WEB.xml"
