Date,Symbol,Client_Name,Buy_Sell,Quantity,Price,Source
2024-11-04,AFCONS,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BUY,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-04,AFCONS,JUPITER INDIA FUND,BUY,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-04,AFCONS,NOMURA FUNDS IRELAND PLC NOMURA FUNDS IRELAND INDIA EQUITY FUND,BUY,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-04,AFCONS,NOMURA INDIA INVESTMENT FUND MOTHER FUND,BUY,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-04,AKSHAR,ANKITA VISHAL SHAH,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-04,BAHETI,SHANKERLAL BANSILAL SHAH,BUY,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-04,DANISH,MANSI SHARE AND STOCK ADVISORS PVT LTD,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-04,EXCEL,RAHUL UPPAL,BUY,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-04,EXCEL,RAHUL UPPAL,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-04,EXCEL,SHARE INDIA SECURITIES LIMITED,BUY,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-04,EXCEL,SHARE INDIA SECURITIES LIMITED,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-04,JYOTISTRUC,AION JYOTI LLC,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-04,KSHITIJPOL,BHAVISHYA ECOMMERCE PRIVATE LIMITED,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-04,KSHITIJPOL,BHAVISHYA ECOMMERCE PRIVATE LIMITED,BUY,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-04,KSHITIJPOL,PRABHU LAL MEENA,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-04,KSHITIJPOL,TRANSGLOBAL SECURITIES LTD,BUY,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-04,KSHITIJPOL,TRANSGLOBAL SECURITIES LTD,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-04,LAKSHYA,MANSI SHARE AND STOCK ADVISORS PVT LTD,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-04,MACOBSTECH,VASANT BALIRAMPANT BELORKAR,BUY,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-04,MALUPAPER,ORION STOCKS LTD,BUY,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-04,MALUPAPER,ORION STOCKS LTD,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-04,MHHL,ANANTHARAMAKRISHNA P,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-04,OBSCP,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-04,OBSCP,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,BUY,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-04,OLIL,HARDIK P SHAH (HUF),BUY,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-04,PRITI,ZAKI ABBAS NASSER,BUY,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-04,SABAR,THE TRUSTEE FOR BLACK SWAN SUPER FUND,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-04,UMAEXPORTS,NAVRATRI SHARE TRADING PRIVATE LIMITED .,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-04,UTSSAV,ASHIKA GLOBAL SECURITIES PRIVATE LIMITED,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-04,VINCOFE,NAVRATRI SHARE TRADING PRIVATE LIMITED .,BUY,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-05,AKSHAR,ANKITA VISHAL SHAH,BUY,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-05,AKSHAR,ANKITA VISHAL SHAH,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-05,AKSHAR,ISHAAN TRADEFIN LLP,BUY,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-05,AKSHAR,ISHAAN TRADEFIN LLP,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-05,CBAZAAR,HI GROWTH CORPORATE SERVICES PVT LTD,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-05,CBAZAAR,HI GROWTH CORPORATE SERVICES PVT LTD,BUY,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-05,DIL,ELAN VENTURES PRIVATE LIMITED,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-05,DIL,ELAN VENTURES PRIVATE LIMITED,BUY,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-05,KSHITIJPOL,BHAVISHYA ECOMMERCE PRIVATE LIMITED,BUY,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-05,KSHITIJPOL,BHAVISHYA ECOMMERCE PRIVATE LIMITED,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-05,KSHITIJPOL,SHUBHAM KUMAR,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-05,KSHITIJPOL,SHUBHAM KUMAR,BUY,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-05,MHHL,ANANTHARAMAKRISHNA P,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-05,MIEL,NORTH STAR OPPORTUNITIES FUND VCC-BULL VALUE INCORPORATED VCC SUB-FUND,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-05,OLIL,YASH NITINBHAI TRIVEDI,BUY,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-05,ORIENTTECH,AAKRAYA RESEARCH LLP,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-05,ORIENTTECH,AAKRAYA RESEARCH LLP,BUY,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-05,ORIENTTECH,HRTI PRIVATE LIMITED,BUY,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-05,ORIENTTECH,HRTI PRIVATE LIMITED,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-05,ORIENTTECH,QE SECURITIES LLP,BUY,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-05,ORIENTTECH,QE SECURITIES LLP,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-05,PREMIUM,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-05,PRITI,MBRD INVESTMENT,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-05,PRITI,ZAKI ABBAS NASSER,BUY,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-05,TECHERA,LAROIA MONA,BUY,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-05,TI,GRAVITON RESEARCH CAPITAL LLP,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-05,TI,GRAVITON RESEARCH CAPITAL LLP,BUY,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-06,ATALREAL,JOSEPH EMMANUEL RAVI,BUY,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-06,CCL,GRAVITON RESEARCH CAPITAL LLP,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-06,CCL,GRAVITON RESEARCH CAPITAL LLP,BUY,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-06,KSHITIJPOL,BHAVISHYA ECOMMERCE PRIVATE LIMITED,BUY,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-06,KSHITIJPOL,BHAVISHYA ECOMMERCE PRIVATE LIMITED,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-06,KSHITIJPOL,RAMESH LAL,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
2024-11-06,MAANALU,ISHAAN TRADEFIN LLP,SELL,,,Bulk-Deals-03-11-2024-to-03-11-2025.csv
