Date,Symbol,Series,Deliverable_Qty,Traded_Qty,Delivery_Pct
2025-11-04,1018GS2026,GS,1195.0,1195,100.0
2025-11-04,20MICRONS,EQ,44231.0,82091,53.88
2025-11-04,21STCENMGM,EQ,9964.0,11716,85.05
2025-11-04,360ONE,EQ,331497.0,458901,72.24
2025-11-04,3IINFOLTD,EQ,319029.0,610624,52.25
2025-11-04,3MINDIA,EQ,49453.0,222196,22.26
2025-11-04,3PLAND,EQ,2073.0,2274,91.16
2025-11-04,591GS2028,GS,300.0,300,100.0
2025-11-04,5PAISA,EQ,31921.0,43978,72.58
2025-11-04,601GS2030,GS,450.0,452,99.56
2025-11-04,610GS2031,GS,1.0,3,33.33
2025-11-04,628GS2032,GS,300.0,300,100.0
2025-11-04,633GS2035,GS,600.0,600,100.0
2025-11-04,63MOONS,EQ,47600.0,78095,60.95
2025-11-04,648GS2035,GS,100.0,100,100.0
2025-11-04,667GS2035,GS,2000.0,2000,100.0
2025-11-04,667GS2050,GS,5004.0,5754,86.97
2025-11-04,676GS2061,GS,31768.0,45031,70.55
2025-11-04,679GS2034,GS,400.0,400,100.0
2025-11-04,68GS2060,GS,10.0,10,100.0
2025-11-04,690GS2065,GS,115053.0,115053,100.0
2025-11-04,692GS2039,GS,300.0,300,100.0
2025-11-04,695GS2061,GS,100000.0,100000,100.0
2025-11-04,697GR2034,GS,50.0,50,100.0
2025-11-04,698GR2054,GS,1155.0,1155,100.0
2025-11-04,699GS2026,GS,60502.0,60502,100.0
2025-11-04,699GS2051,GS,2010.0,2010,100.0
2025-11-04,702GS2027,GS,793.0,793,100.0
2025-11-04,702GS2031,GS,70.0,70,100.0
2025-11-04,704GS2029,GS,100.0,100,100.0
2025-11-04,706GS2028,GS,400.0,400,100.0
2025-11-04,709GS2054,GS,177000.0,177000,100.0
2025-11-04,709GS2074,GS,85575.0,85575,100.0
2025-11-04,710GS2029,GS,2000.0,2000,100.0
2025-11-04,716GS2050,GS,1000.0,1000,100.0
2025-11-04,717GS2030,GS,2600.0,2600,100.0
2025-11-04,718GS2033,GS,40740.0,40740,100.0
2025-11-04,718GS2037,GS,1470.0,1470,100.0
2025-11-04,719GS2060,GS,1001.0,1001,100.0
2025-11-04,71GS2034,GS,1500.0,1500,100.0
2025-11-04,723GS2039,GS,574.0,574,100.0
2025-11-04,724GS2055,GS,39200.0,40300,97.27
2025-11-04,725GS2063,GS,81751.0,86245,94.79
2025-11-04,726GS2032,GS,1100.0,1100,100.0
2025-11-04,732GS2030,GS,1000.0,1000,100.0
2025-11-04,733GS2026,GS,1100.0,1100,100.0
2025-11-04,734GS2064,GS,24101.0,24101,100.0
2025-11-04,736GS2052,GS,1.0,2,50.0
2025-11-04,737GS2028,GS,100.0,100,100.0
2025-11-04,738GS2027,GS,28089.0,34309,81.87
2025-11-04,73GS2053,GS,12801.0,17080,74.95
2025-11-04,741GS2036,GS,2670.0,5340,50.0
2025-11-04,746GS2073,GS,9136.0,10156,89.96
2025-11-04,74GS2062,GS,5.0,5,100.0
2025-11-04,754GS2036,GS,526047.0,533918,98.53
2025-11-04,75GS2034,GS,100.0,200,50.0
2025-11-04,769GS2043,GS,120.0,120,100.0
2025-11-04,795GS2032,GS,11394.0,11394,100.0
2025-11-04,817GS2044,GS,121.0,121,100.0
2025-11-04,824GS2027,GS,990.0,990,100.0
2025-11-04,828GS2027,GS,1.0,1,100.0
2025-11-04,92GS2030,GS,16816.0,16816,100.0
2025-11-04,A2ZINFRA,EQ,140704.0,179295,78.48
2025-11-04,AAATECH,BE,,129725,
2025-11-04,AADHARHFC,EQ,163042.0,241230,67.59
2025-11-04,AAKAAR,SM,8000.0,8000,100.0
2025-11-04,AAKASH,EQ,61313.0,77457,79.16
2025-11-04,AARADHYA,ST,1200.0,1200,100.0
2025-11-04,AAREYDRUGS,BE,,72288,
2025-11-04,AARON,EQ,8970.0,13129,68.32
2025-11-04,AARTECH,EQ,28541.0,40399,70.65
2025-11-04,AARTIDRUGS,EQ,46359.0,87386,53.05
2025-11-04,AARTIIND,EQ,194120.0,401749,48.32
2025-11-04,AARTIPHARM,EQ,43239.0,78756,54.9
2025-11-04,AARTISURF,EQ,3635.0,5371,67.68
2025-11-04,AARVI,EQ,4345.0,5154,84.3
2025-11-04,AATMAJ,SM,4000.0,4000,100.0
2025-11-04,AAVAS,EQ,28977.0,47216,61.37
2025-11-04,ABAN,BE,,76203,
2025-11-04,ABB,EQ,67294.0,101847,66.07
2025-11-04,ABBOTINDIA,EQ,4014.0,7561,53.09
2025-11-04,ABCAPITAL,EQ,2147406.0,3901005,55.05
2025-11-04,ABCOTS,EQ,2286.0,26326,8.68
2025-11-04,ABDL,EQ,561806.0,1244736,45.13
2025-11-04,ABFRL,EQ,2036246.0,4744570,42.92
2025-11-04,ABGSEC,EQ,24.0,24,100.0
2025-11-04,ABHAPOWER,ST,14400.0,16000,90.0
2025-11-04,ABINFRA,EQ,299147.0,740171,40.42
2025-11-04,ABLBL,EQ,747374.0,1292118,57.84
2025-11-04,ABMINTLLTD,BE,,4,
2025-11-04,ABREL,EQ,45089.0,83794,53.81
2025-11-04,ABSLAMC,EQ,112688.0,178492,63.13
2025-11-04,ABSLBANETF,EQ,5026.0,15458,32.51
2025-11-04,ABSLLIQUID,EQ,629.0,1129,55.71
2025-11-04,ABSLNN50ET,EQ,5346.0,8917,59.95
2025-11-04,ABSLPSE,EQ,70878.0,103952,68.18
2025-11-04,ABSMARINE,SM,45000.0,59000,76.27
2025-11-04,ACC,EQ,312795.0,565834,55.28
2025-11-04,ACCELYA,EQ,5832.0,8214,71.0
2025-11-04,ACCENTMIC,ST,46500.0,49500,93.94
2025-11-04,ACCORD,SM,6000.0,8000,75.0
2025-11-04,ACCPL,SM,13200.0,16800,78.57
2025-11-04,ACCURACY,EQ,76087.0,104628,72.72
2025-11-04,ACE,EQ,44497.0,104494,42.58
2025-11-04,ACEINTEG,EQ,1378.0,1434,96.09
2025-11-04,ACI,EQ,134094.0,186662,71.84
2025-11-04,ACL,BE,,16965,
2025-11-04,ACLGATI,EQ,458140.0,646503,70.86
2025-11-04,ACMESOLAR,EQ,1295471.0,3979407,32.55
2025-11-04,ACTIVEINFR,SM,1200.0,1200,100.0
2025-11-04,ACUTAAS,EQ,287378.0,598906,47.98
2025-11-04,ADANIENSOL,EQ,574973.0,1710963,33.61
2025-11-04,ADANIENT,EQ,424988.0,2072668,20.5
2025-11-04,ADANIGREEN,EQ,595791.0,3029132,19.67
2025-11-04,ADANIPORTS,EQ,1115999.0,3554714,31.39
2025-11-04,ADANIPOWER,EQ,11685990.0,41404679,28.22
2025-11-04,ADFFOODS,EQ,26122.0,49524,52.75
2025-11-04,ADL,EQ,702.0,2161,32.48
2025-11-04,ADOR,EQ,11410.0,15624,73.03
2025-11-04,ADROITINFO,EQ,26336.0,34043,77.36
2025-11-04,ADSL,EQ,48800.0,100826,48.4
2025-11-04,ADVANCE,EQ,512558.0,828366,61.88
2025-11-04,ADVANIHOTR,EQ,13905.0,23172,60.01
2025-11-04,ADVENZYMES,EQ,54637.0,95579,57.16
2025-11-04,AEGISLOG,EQ,124600.0,254062,49.04
2025-11-04,AEGISVOPAK,EQ,197648.0,373228,52.96
2025-11-04,AEROENTER,EQ,119057.0,193380,61.57
2025-11-04,AEROFLEX,EQ,230992.0,457120,50.53
2025-11-04,AERON,SM,6000.0,10000,60.0
2025-11-04,AERONEU,EQ,6810.0,22123,30.78
2025-11-04,AESTHETIK,SM,23000.0,23000,100.0
2025-11-04,AETHER,EQ,68339.0,87398,78.19
2025-11-04,AFCONS,EQ,347801.0,465717,74.68
2025-11-04,AFFLE,EQ,355075.0,666235,53.3
2025-11-04,AFFORDABLE,EQ,16917.0,28716,58.91
2025-11-04,AFIL,EQ,713992.0,1275261,55.99
2025-11-04,AFSL,EQ,13214.0,22153,59.65
2025-11-04,AGARIND,EQ,11779.0,23793,49.51
2025-11-04,AGARWALEYE,EQ,49623.0,138944,35.71
