Date,Symbol,Series,Open,High,Low,Close,PrevClose,Volume,Turnover
2025-07-01,1018GS2026,GS,108.35,108.35,107.2,108.3,108.15,1410,1.52
2025-07-01,20MICRONS,EQ,233.6,235.85,228.74,231.94,231.28,81262,188.27
2025-07-01,21STCENMGM,EQ,57.59,57.59,57.59,57.59,58.77,7028,4.05
2025-07-01,360ONE,EQ,1198.0,1208.4,1170.0,1175.5,1194.5,1117721,13222.1
2025-07-01,3IINFOLTD,EQ,25.03,25.45,24.85,24.99,25.02,389658,97.58
2025-07-01,3MINDIA,EQ,28605.0,28755.0,28565.0,28690.0,28500.0,1832,525.47
2025-07-01,3PLAND,EQ,50.75,51.98,50.75,51.38,50.92,3554,1.82
2025-07-01,563GS2026,GS,105.0,105.0,103.0,104.0,102.45,2,0.0
2025-07-01,574GS2026,GS,100.0,100.0,100.0,100.0,100.0,2,0.0
2025-07-01,577GS2030,GS,99.65,99.65,99.65,99.65,100.0,7195,7.17
2025-07-01,5PAISA,EQ,416.6,420.95,409.35,413.0,412.5,26382,109.45
2025-07-01,619GS2034,GS,99.79,99.79,99.79,99.79,100.8,1,0.0
2025-07-01,633GS2035,GS,100.5,100.5,100.5,100.5,101.0,500,0.5
2025-07-01,63MOONS,EQ,1007.2,1042.0,1005.0,1009.8,1001.55,376911,3864.71
2025-07-01,654GS2032,GS,104.0,104.5,104.0,104.5,103.77,20000,20.85
2025-07-01,664GS2027,GS,102.5,102.5,101.3,101.3,102.39,700,0.71
2025-07-01,667GS2050,GS,98.99,99.0,98.99,98.99,98.8,1040,1.03
2025-07-01,676GS2061,GS,100.1,100.1,99.75,99.75,99.97,6102,6.09
2025-07-01,679GS2031,GS,103.0,103.49,101.97,102.51,103.0,128,0.13
2025-07-01,68GS2060,GS,95.0,99.48,95.0,99.48,99.48,867,0.86
2025-07-01,690GS2065,GS,99.9,100.0,99.3,100.0,100.0,4910,4.91
2025-07-01,692GS2039,GS,102.22,102.36,102.22,102.36,103.0,200,0.2
2025-07-01,698GR2054,GS,100.0,100.0,100.0,100.0,100.4,700,0.7
2025-07-01,699GS2026,GS,102.49,102.49,101.5,102.46,102.49,3430,3.49
2025-07-01,699GS2051,GS,101.99,101.99,100.26,100.26,100.0,44102,44.96
2025-07-01,702GS2027,GS,102.26,102.26,102.25,102.25,102.0,8900,9.1
2025-07-01,702GS2031,GS,104.2,104.2,104.2,104.2,104.02,11500,11.98
2025-07-01,704GS2029,GS,103.0,104.4,103.0,104.4,103.01,1200,1.25
2025-07-01,709GS2054,GS,103.3,103.9,103.3,103.9,103.25,1645,1.71
2025-07-01,709GS2074,GS,100.6,103.49,100.45,100.87,100.59,114325,114.91
2025-07-01,710GS2029,GS,104.75,104.75,104.75,104.75,104.57,1000,1.05
