SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
1018GS2026, GS, 23-Oct-2025, 105.99, 105.90, 105.90, 104.26, 105.80, 105.80, 104.36, 3489, 3.64, 5, 3389, 97.13
20MICRONS, EQ, 23-Oct-2025, 212.28, 215.45, 215.45, 211.32, 212.70, 212.27, 212.60, 47010, 99.95, 2288, 28608, 60.86
21STCENMGM, EQ, 23-Oct-2025, 48.05, 48.74, 48.74, 47.16, 47.16, 47.25, 47.65, 3896, 1.86, 121, 3675, 94.33
360ONE, EQ, 23-Oct-2025, 1175.40, 1160.00, 1188.40, 1160.00, 1180.00, 1178.90, 1178.86, 652187, 7688.39, 39020, 354895, 54.42
3IINFOLTD, EQ, 23-Oct-2025, 19.17, 19.20, 19.38, 19.08, 19.10, 19.20, 19.24, 418457, 80.49, 1677, 327076, 78.16
3MINDIA, EQ, 23-Oct-2025, 29790.00, 30000.00, 30090.00, 29555.00, 29600.00, 29735.00, 29798.02, 2559, 762.53, 1485, 1328, 51.90
3PLAND, EQ, 23-Oct-2025, 42.12, 43.99, 43.99, 41.56, 42.39, 42.06, 42.18, 6904, 2.91, 127, 4093, 59.28
563GS2026, GS, 23-Oct-2025, 99.56, 99.55, 100.20, 99.55, 100.20, 100.20, 99.57, 5151, 5.13, 3, 5000, 97.07
591GS2028, GS, 23-Oct-2025, 100.65, 102.25, 102.25, 100.65, 100.65, 100.65, 101.45, 20, 0.02, 2, 0, 0.00
5PAISA, EQ, 23-Oct-2025, 315.75, 320.00, 320.00, 314.25, 315.50, 315.10, 316.41, 34931, 110.52, 1662, 21798, 62.40
601GS2030, GS, 23-Oct-2025, 99.20, 99.15, 100.00, 99.15, 99.90, 99.90, 99.53, 800, 0.80, 6, 400, 50.00
628GS2032, GS, 23-Oct-2025, 99.45, 99.45, 99.45, 99.45, 99.45, 99.45, 99.45, 500, 0.50, 3, 500, 100.00
633GS2035, GS, 23-Oct-2025, 100.70, 100.70, 100.70, 100.70, 100.70, 100.70, 100.70, 300, 0.30, 2, 300, 100.00
63MOONS, EQ, 23-Oct-2025, 803.80, 816.00, 816.00, 793.00, 793.00, 796.00, 803.74, 55971, 449.86, 3966, 28312, 50.58
667GS2050, GS, 23-Oct-2025, 96.38, 96.30, 96.90, 96.30, 96.50, 96.50, 96.40, 12107, 11.67, 10, 11107, 91.74
668GS2040, GS, 23-Oct-2025, 100.50, 100.50, 100.50, 100.25, 100.43, 100.31, 100.47, 1800, 1.81, 4, 1800, 100.00
676GS2061, GS, 23-Oct-2025, 95.79, 95.90, 95.90, 95.10, 95.20, 95.10, 95.32, 31265, 29.80, 18, 30022, 96.02
679GS2031, GS, 23-Oct-2025, 104.00, 104.50, 104.50, 104.50, 104.50, 104.50, 104.50, 1, 0.00, 1, 1, 100.00
679GS2034, GS, 23-Oct-2025, 100.90, 101.99, 101.99, 100.90, 100.90, 100.90, 100.97, 214, 0.22, 2, 214, 100.00
68GS2060, GS, 23-Oct-2025, 96.35, 96.99, 96.99, 96.40, 96.40, 96.40, 96.40, 748, 0.72, 4, 748, 100.00
690GS2065, GS, 23-Oct-2025, 97.30, 97.40, 97.45, 96.15, 96.15, 96.30, 96.41, 151860, 146.40, 100, 121664, 80.12
695GS2061, GS, 23-Oct-2025, 99.00, 99.00, 99.10, 99.00, 99.10, 99.10, 99.01, 116, 0.11, 2, 116, 100.00
697GR2034, GS, 23-Oct-2025, 99.64, 97.65, 97.65, 97.65, 97.65, 97.65, 97.65, 200, 0.20, 2, 200, 100.00
698GR2054, GS, 23-Oct-2025, 99.98, 97.98, 97.98, 97.98, 97.98, 97.98, 97.98, 100, 0.10, 2, 100, 100.00
699GS2026, GS, 23-Oct-2025, 100.44, 100.41, 100.41, 100.40, 100.40, 100.40, 100.40, 10000, 10.04, 3, 10000, 100.00
699GS2051, GS, 23-Oct-2025, 100.11, 99.90, 99.90, 99.90, 99.90, 99.90, 99.90, 300, 0.30, 1, 300, 100.00
702GS2027, GS, 23-Oct-2025, 103.20, 103.20, 104.00, 98.55, 103.60, 103.60, 102.32, 12451, 12.74, 8, 12374, 99.38
704GS2029, GS, 23-Oct-2025, 104.75, 104.75, 104.75, 104.75, 104.75, 104.75, 104.75, 1110, 1.16, 2, 1110, 100.00
706GS2028, GS, 23-Oct-2025, 102.60, 103.00, 103.25, 102.25, 103.20, 103.20, 103.08, 251, 0.26, 4, 251, 100.00
709GS2054, GS, 23-Oct-2025, 102.39, 102.38, 102.38, 101.70, 101.72, 101.72, 101.79, 1800, 1.83, 9, 1800, 100.00
709GS2074, GS, 23-Oct-2025, 102.36, 103.10, 103.10, 101.81, 101.83, 101.83, 102.00, 21490, 21.92, 32, 21489, 100.00
710GS2029, GS, 23-Oct-2025, 103.49, 103.00, 103.30, 102.90, 103.05, 103.05, 103.25, 28765, 29.70, 12, 28765, 100.00
716GS2050, GS, 23-Oct-2025, 101.01, 101.03, 101.03, 101.00, 101.00, 101.00, 101.00, 3003, 3.03, 4, 3003, 100.00
718GS2037, GS, 23-Oct-2025, 105.50, 105.50, 105.50, 105.50, 105.50, 105.50, 105.50, 24, 0.03, 2, 24, 100.00
725GS2063, GS, 23-Oct-2025, 104.21, 104.50, 104.50, 104.00, 104.00, 104.08, 104.00, 962038, 1000.53, 389, 962038, 100.00
726GS2032, GS, 23-Oct-2025, 105.00, 105.00, 105.70, 104.64, 105.60, 105.60, 105.01, 7252, 7.62, 28, 7151, 98.61
726GS2033, GS, 23-Oct-2025, 106.00, 104.72, 104.72, 104.72, 104.72, 104.72, 104.72, 3901, 4.09, 2, 3901, 100.00
732GS2030, GS, 23-Oct-2025, 106.30, 106.50, 106.50, 106.50, 106.50, 106.50, 106.50, 49, 0.05, 2, 49, 100.00
733GS2026, GS, 23-Oct-2025, 104.50, 104.30, 104.50, 104.30, 104.50, 104.50, 104.42, 500, 0.52, 3, 500, 100.00
734GS2064, GS, 23-Oct-2025, 101.98, 101.95, 103.00, 101.91, 101.91, 101.99, 102.07, 4355, 4.44, 25, 4355, 100.00
737GS2028, GS, 23-Oct-2025, 103.16, 104.40, 104.40, 103.70, 103.70, 104.04, 104.05, 1643, 1.71, 10, 1593, 96.96
738GS2027, GS, 23-Oct-2025, 105.30, 105.20, 105.20, 104.81, 105.10, 105.01, 104.92, 148616, 155.93, 29, 148616, 100.00
73GS2053, GS, 23-Oct-2025, 106.25, 105.00, 105.00, 105.00, 105.00, 105.00, 105.00, 4000, 4.20, 1, 4000, 100.00
746GS2073, GS, 23-Oct-2025, 107.34, 106.50, 107.00, 106.20, 107.00, 106.81, 106.78, 31853, 34.01, 25, 31853, 100.00
74GS2062, GS, 23-Oct-2025, 103.60, 103.50, 103.50, 102.00, 102.15, 102.15, 103.42, 5301, 5.48, 16, 5102, 96.25
754GS2036, GS, 23-Oct-2025, 109.66, 110.00, 110.00, 109.40, 109.61, 109.60, 109.58, 768564, 842.20, 391, 733045, 95.38
759GS2026, GS, 23-Oct-2025, 101.31, 101.30, 101.30, 101.30, 101.30, 101.30, 101.30, 620, 0.63, 1, 620, 100.00
772GS2055, GS, 23-Oct-2025, 111.70, 114.49, 114.49, 114.49, 114.49, 114.49, 114.49, 1, 0.00, 1, 1, 100.00
824GS2027, GS, 23-Oct-2025, 107.00, 104.00, 104.00, 104.00, 104.00, 104.00, 104.00, 6269, 6.52, 4, 6269, 100.00
828GS2027, GS, 23-Oct-2025, 104.90, 104.80, 104.90, 104.80, 104.90, 104.90, 104.83, 1100, 1.15, 3, 1100, 100.00
83GS2042, GS, 23-Oct-2025, 112.35, 113.35, 113.35, 112.50, 112.50, 112.50, 112.95, 1889, 2.13, 2, 1889, 100.00
897GS2030, GS, 23-Oct-2025, 113.00, 113.00, 113.00, 113.00, 113.00, 113.00, 113.00, 2000, 2.26, 2, 2000, 100.00
92GS2030, GS, 23-Oct-2025, 114.99, 115.20, 115.20, 115.00, 115.20, 115.11, 115.13, 21123, 24.32, 15, 21123, 100.00
