Date,Symbol,Series,Open,High,Low,Close,PrevClose,Volume,Turnover
2025-11-14,1018GS2026,GS,104.11,104.11,104.11,104.11,105.2,1,0.0
2025-11-14,20MICRONS,EQ,197.9,199.06,191.6,193.63,197.95,95278,186.97
2025-11-14,21STCENMGM,EQ,43.27,43.27,43.27,43.27,44.16,2175,0.94
2025-11-14,360ONE,EQ,1087.0,1089.8,1059.0,1065.4,1085.6,601566,6419.91
2025-11-14,3IINFOLTD,EQ,18.3,18.44,18.03,18.2,18.25,525329,95.74
2025-11-14,3MINDIA,EQ,36175.0,36210.0,35565.0,35910.0,36075.0,5710,2052.92
2025-11-14,3PLAND,EQ,40.25,41.88,40.1,40.65,40.38,8732,3.55
2025-11-14,591GS2028,GS,100.93,100.93,100.93,100.93,101.0,100,0.1
2025-11-14,5PAISA,EQ,290.6,292.0,287.65,289.15,289.1,39395,114.07
2025-11-14,601GS2030,GS,101.35,101.35,101.25,101.25,100.5,2410,2.44
2025-11-14,610GS2031,GS,97.85,97.95,97.85,97.95,100.3,200,0.2
2025-11-14,628GS2032,GS,99.4,99.4,99.4,99.4,99.35,90,0.09
2025-11-14,633GS2035,GS,101.6,101.6,101.6,101.6,101.5,100,0.1
2025-11-14,63MOONS,EQ,737.0,754.85,737.0,742.85,743.5,47265,352.22
2025-11-14,648GS2035,GS,100.0,100.12,100.0,100.12,100.12,241,0.24
2025-11-14,654GS2032,GS,102.0,102.0,102.0,102.0,102.1,8500,8.67
2025-11-14,667GS2035,GS,101.81,101.81,101.81,101.81,101.92,11,0.01
2025-11-14,667GS2050,GS,97.0,97.0,96.65,96.65,97.14,50020,48.35
2025-11-14,676GS2061,GS,94.2,94.25,93.0,94.25,94.2,590,0.55
2025-11-14,679GS2031,GS,102.95,102.95,102.95,102.95,103.56,100,0.1
2025-11-14,679GS2034,GS,100.41,101.4,100.41,101.0,100.4,25114,25.46
2025-11-14,679GS2034A,GS,100.37,100.37,100.37,100.37,101.38,198,0.2
2025-11-14,68GS2060,GS,96.5,96.5,95.52,96.0,96.13,966,0.92
2025-11-14,690GS2065,GS,95.54,95.54,95.18,95.24,95.28,393071,374.36
2025-11-14,692GS2039,GS,104.0,104.0,104.0,104.0,103.2,1,0.0
2025-11-14,695GS2061,GS,98.5,98.5,98.5,98.5,98.8,3100,3.05
2025-11-14,698GR2054,GS,97.5,98.0,97.0,98.0,98.0,120,0.12
2025-11-14,699GS2051,GS,99.64,99.9,99.64,99.67,99.64,1450,1.45
2025-11-14,702GS2027,GS,103.75,106.0,103.75,105.76,104.0,3600,3.8
2025-11-14,709GS2054,GS,100.17,100.35,100.03,100.09,100.17,296476,296.81
2025-11-14,709GS2074,GS,99.9,100.1,99.79,99.99,99.96,21426,21.41
2025-11-14,710GS2029,GS,103.06,103.8,103.06,103.45,103.74,9600,9.93
2025-11-14,716GS2050,GS,101.01,101.01,101.01,101.01,101.01,1,0.0
