Symbol,Series,Close,R_SCORE,Entry,SL,EntryMode,TriggerDistATR,Entry2,SL2,Mode2,Entry3,SL3,Mode3,WHY,RS_4W_Z,RS_13W_Z,SqueezeScore,PocketPivot10,TurnoverCr_med20,DelivValCr_med20,ATR_PCT,MA_Aligned,Near52w,DELIV_Q4,INSIDER_PLUS,BULK_PLUS,BLOCK_PLUS,BELOW_SMA20,EXTENDED_BB,LQ_STRONG,TREND_OK,RR_HI55,RET_10,SEC_RET_10,RET10_EDGE_SEC,SECTOR_MOM_OK,STOCK_VS_SEC_OK,GO,GO_REASONS,MKT_BREADTH20,DISP_4W,AsOf,Sector,SECTOR_BREADTH20,SEC_RS_Z,TB_TOMORROW_BUY,TB_MODE,TB_DIST_TO_BREAK_PCT,PowerStrong,TV_BUY_SETUP,INTRA_SCORE,INTRA_OK
COFORGE,EQ,1977.9,100.0,1996.27,1918.71,BREAKOUT,0.34,,,,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W,COILED,BLOCK+",1.6345514461875728,1.2539339350429346,0.7341772151898734,1,281.3591,,0.02720417759095146,False,True,0,0,0,1,0,0,True,True,,0.12534137460172978,0.0021842732327244097,0.12315710136900537,True,True,True,MARKET_OK,0.238,0.1191,2025-12-05,Information Technology,0.4594594594594595,1.7563378160566137,True,TB_BIRTH,0.52,True,1,67.2,True
PTCIL,EQ,18875.0,100.0,18994.95,18310.7,BREAKOUT,0.23,17483.4,17048.4,RECLAIM,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W",1.4103618765984025,2.1593558188035855,0.6075949367088608,1,20.80865,,0.027178807947019868,False,True,0,0,0,0,0,0,True,True,,0.08934033589196044,-0.05644271124500616,0.1457830471369666,True,True,True,MARKET_OK,0.238,0.1191,2025-12-05,Capital Goods,0.19491525423728814,0.20159313915679528,True,TB_BIRTH,0.23,True,1,61.0,True
STYLAMIND,EQ,2147.5,100.0,2166.83,2060.74,BREAKOUT,0.25,,,,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W,COILED",1.3685098738997898,1.7246219521915926,0.7215189873417722,1,10.879650000000002,,0.03672709130217862,False,True,0,0,0,0,0,0,True,True,,0.043843873037476166,-0.04048582995951422,0.08432970299699039,True,True,True,MARKET_OK,0.238,0.1191,2025-12-05,Non-Energy Minerals,0.16326530612244897,-0.45587896268052497,True,TB_BIRTH,0.35,True,1,58.0,True
HINDZINC,EQ,498.1,80.9,503.86,482.97,BREAKOUT,0.42,,,,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W",0.7373431656267803,1.0564070132402192,0.6962025316455696,1,149.97345,,0.02761923882180858,False,True,0,0,0,0,0,0,True,True,1.0502632838678772,0.027858027238959915,-0.029458693959389215,0.05731672119834913,True,True,True,MARKET_OK,0.238,0.1191,2025-12-05,Metals & Mining,0.4,1.4870700537079957,True,TB_BIRTH,5.56,True,1,57.5,True
ASIANPAINT,EQ,2968.5,100.0,2984.2,2890.0,BREAKOUT,0.22,2867.67,2661.84,RECLAIM,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W",2.0521546222686697,1.0907791442257757,0.0,1,278.40459999999996,,0.02404052070550303,False,True,0,0,0,0,0,0,True,True,,0.12001961968004826,-0.05889176407602392,0.17891138375607218,True,True,False,"Not coiled; No delivery edge; No fresh insider; Sector weak (b0.27, z-0.26)",0.238,0.1191,2025-12-05,Consumer Durables,0.265625,-0.2583405730780279,False,,0.17,True,1,64.0,True
AUBANK,EQ,960.7,100.0,968.26,936.79,BREAKOUT,0.35,,,,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W,BLOCK+",1.462334320507622,1.6550656395018466,0.5569620253164558,1,159.0242,,0.02262858927270293,False,True,0,0,0,1,0,0,True,True,,0.050404548436475016,-0.013679890560875485,0.0640844389973505,True,True,False,"Not coiled; No delivery edge; No fresh insider; Sector weak (b0.39, z+0.99)",0.238,0.1191,2025-12-05,Financial Services,0.3904761904761905,0.9941814956684314,False,,0.45,True,1,62.1,True
BHARATFORG,EQ,1406.0,100.0,1413.75,1366.01,BREAKOUT,0.21,,,,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W",1.5925618385810656,1.1818083783054514,0.240506329113924,1,138.05505,,0.025853485064011406,False,True,0,0,0,0,0,0,True,True,0.9729786342689576,0.0584161397169527,0.0008580389529143084,0.05755810076403839,True,True,False,"Not coiled; No delivery edge; No fresh insider; Sector weak (b0.52, z+1.47)",0.238,0.1191,2025-12-05,Automobile and Auto Components,0.5208333333333334,1.4717092366978475,False,,3.85,True,1,65.9,True
BSE,EQ,2815.9,100.0,2838.36,2702.51,BREAKOUT,0.22,,,,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W,BULK+",1.6019575344073638,0.8810352351480477,0.10126582278481011,1,1110.4009,,0.036605906256817165,False,True,0,0,1,0,0,0,True,True,0.8953993375046003,0.07260122652649215,-0.013679890560875485,0.08628111708736763,True,True,False,"Not coiled; No delivery edge; No fresh insider; Sector weak (b0.39, z+0.99)",0.238,0.1191,2025-12-05,Financial Services,0.3904761904761905,0.9941814956684314,False,,5.12,True,1,76.6,True
CANBK,EQ,148.64,100.0,149.98,144.78,BREAKOUT,0.38,,,,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W,BLOCK+",1.9176892721302186,2.0837416854599793,0.05063291139240511,1,397.71585,,0.023623712132861713,False,True,0,0,0,1,0,0,True,True,0.3500000000000049,0.05388542257515594,-0.013679890560875485,0.06756531313603142,True,True,False,"Not coiled; RR_HI55<0.8 (0.35); No delivery edge; No fresh insider; Sector weak (b0.39, z+0.99)",0.238,0.1191,2025-12-05,Financial Services,0.3904761904761905,0.9941814956684314,False,,2.13,True,1,63.6,True
CIGNITITEC,EQ,1910.0,100.0,1932.57,1847.17,BREAKOUT,0.4,,,,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W,COILED",1.7857711912220273,1.4375389749310006,0.7215189873417722,1,8.9332,,0.029902767389678387,False,True,0,0,0,0,0,0,False,True,,0.12286890064667833,0.0021842732327244097,0.12068462741395392,True,True,False,"Weak close; LQ<10cr (8.9); No delivery edge; No fresh insider; Sector weak (b0.46, z+1.76)",0.238,0.1191,2025-12-05,Information Technology,0.4594594594594595,1.7563378160566137,False,,0.73,True,1,50.6,False
CUB,EQ,271.85,100.0,275.73,257.67,BREAKOUT,0.3,,,,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W",2.1949079496314945,1.6898229397774023,0.07594936708860756,1,78.45920000000001,,0.047405344333797526,False,True,0,0,0,0,0,0,True,True,0.4075304540420795,0.07073929654574829,-0.013679890560875485,0.08441918710662377,True,True,False,"Not coiled; RR_HI55<0.8 (0.41); No delivery edge; No fresh insider; Sector weak (b0.39, z+0.99)",0.238,0.1191,2025-12-05,Financial Services,0.3904761904761905,0.9941814956684314,False,,4.13,True,1,87.4,True
CUMMINSIND,EQ,4468.9,100.0,4506.89,4354.6,BREAKOUT,0.37,,,,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W",1.4761054221632617,1.1276199352760625,0.6075949367088608,1,238.505,,0.02325116759317568,False,True,0,0,0,0,0,0,True,True,,0.027522302952267097,-0.05644271124500616,0.08396501419727326,True,True,False,"Weak close; No delivery edge; No fresh insider; Sector weak (b0.19, z+0.20)",0.238,0.1191,2025-12-05,Capital Goods,0.19491525423728814,0.20159313915679528,True,TB_BIRTH,0.5,True,1,62.9,True
HEROMOTOCO,EQ,6350.5,100.0,6412.67,6173.24,BREAKOUT,0.39,,,,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W",1.5411447957523716,2.022092890407505,0.189873417721519,1,313.84735,,0.02537482987841227,False,True,0,0,0,0,0,0,True,True,,0.18490530833100105,0.0008580389529143084,0.18404726937808674,True,True,False,"Weak close; Not coiled; No delivery edge; No fresh insider; Sector weak (b0.52, z+1.47)",0.238,0.1191,2025-12-05,Automobile and Auto Components,0.5208333333333334,1.4717092366978475,False,,0.6,True,1,65.4,True
HINDCOPPER,EQ,371.85,100.0,376.51,353.44,BREAKOUT,0.28,339.84,330.57,RECLAIM,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W",1.1115143079044507,3.083217756245151,0.5063291139240507,1,181.68939999999998,,0.045016231583395766,False,True,0,0,0,0,0,0,True,True,,0.10031069684864646,-0.029458693959389215,0.12976939080803568,True,True,False,"Not coiled; No delivery edge; No fresh insider; Sector weak (b0.40, z+1.49)",0.238,0.1191,2025-12-05,Metals & Mining,0.4,1.4870700537079957,False,,0.58,True,1,79.8,True
IIFL,EQ,569.35,100.0,574.05,551.05,BREAKOUT,0.28,,,,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W",1.6662265353037122,1.7034497328549105,0.45569620253164556,1,68.97315,,0.02922505614171548,False,True,0,0,0,0,0,0,True,True,,0.05065510241742022,-0.013679890560875485,0.0643349929782957,True,True,False,"Not coiled; No delivery edge; No fresh insider; Sector weak (b0.39, z+0.99)",0.238,0.1191,2025-12-05,Financial Services,0.3904761904761905,0.9941814956684314,False,,0.39,True,1,69.2,True
INDUSTOWER,EQ,415.7,100.0,418.54,403.29,BREAKOUT,0.25,406.78,386.19,RECLAIM,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W",1.7866190774526074,1.4870295708203018,0.31645569620253167,1,246.72475,,0.02714010790748822,False,True,0,0,0,0,0,0,True,True,,0.04250783699059557,-0.014720314033366044,0.057228151023961615,True,True,False,"Not coiled; No delivery edge; No fresh insider; Sector weak (b0.18, z-0.49)",0.238,0.1191,2025-12-05,Telecommunication,0.18181818181818182,-0.4853684011362717,False,,0.28,True,1,67.1,True
KMEW,EQ,3032.6,100.0,3120.46,2801.87,BREAKOUT,0.42,2785.47,2514.51,RECLAIM,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W",3.314497924146906,4.514127561550041,0.2911392405063291,1,17.420949999999998,,0.0691674282322571,False,True,0,0,0,0,0,0,True,True,,0.05742878064088708,-0.026713124274099886,0.08414190491498696,True,True,False,"Not coiled; No delivery edge; No fresh insider; Sector weak (b0.31, z+0.47)",0.238,0.1191,2025-12-05,OTHER,0.31025641025641026,0.46680517026934765,False,,1.86,True,1,90.9,False
KTKBANK,EQ,213.17,100.0,217.47,205.71,BREAKOUT,0.63,,,,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W,BULK+",1.9512271517319153,1.5211293526848002,0.0,1,26.49575,,0.031829056621475824,False,True,0,0,1,0,0,0,True,True,,0.18119355017454408,-0.013679890560875485,0.19487344073541957,True,True,False,"Weak close; Far (0.63 ATR); Not coiled; No delivery edge; No fresh insider; Sector weak (b0.39, z+0.99)",0.238,0.1191,2025-12-05,Financial Services,0.3904761904761905,0.9941814956684314,False,,1.54,True,1,71.8,True
LTIM,EQ,6292.0,100.0,6402.24,6128.89,BREAKOUT,0.74,,,,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W",1.598307598088346,1.3988876874960936,0.12658227848101267,1,104.541,,0.02356734174915993,False,True,0,0,0,0,0,0,True,True,,0.1150097465886939,0.0021842732327244097,0.11282547335596949,True,True,False,"Weak close; Far (0.74 ATR); Not coiled; No delivery edge; No fresh insider; Sector weak (b0.46, z+1.76)",0.238,0.1191,2025-12-05,Information Technology,0.4594594594594595,1.7563378160566137,False,,1.4,True,1,63.6,True
MCX,EQ,10343.0,100.0,10400.27,10040.38,BREAKOUT,0.21,9751.21,9339.87,RECLAIM,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W,BULK+",1.5508599653268071,1.5986506695913438,0.430379746835443,1,441.0827,,0.02659838952500656,False,True,0,0,1,0,0,0,True,True,,0.08525261004144591,-0.013679890560875485,0.0989325006023214,True,True,False,"Not coiled; No delivery edge; No fresh insider; Sector weak (b0.39, z+0.99)",0.238,0.1191,2025-12-05,Financial Services,0.3904761904761905,0.9941814956684314,False,,0.15,True,1,66.6,True
MUTHOOTFIN,EQ,3800.1,100.0,3822.08,3689.48,BREAKOUT,0.22,,,,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W",1.8430158724984895,2.1780932500865013,0.0,1,148.96185000000003,,0.0264635893040409,False,True,0,0,0,0,0,0,True,True,,0.14178835406526047,-0.013679890560875485,0.15546824462613595,True,True,False,"Not coiled; No delivery edge; No fresh insider; Sector weak (b0.39, z+0.99)",0.238,0.1191,2025-12-05,Financial Services,0.3904761904761905,0.9941814956684314,False,,0.18,True,1,66.5,True
NATIONALUM,EQ,273.15,100.0,275.88,263.04,BREAKOUT,0.3,262.92,244.93,RECLAIM,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W",2.189168885815567,2.593551264493621,0.10126582278481011,1,241.2526,,0.03366282262493135,False,True,0,0,0,0,0,0,True,True,,0.0613537457258313,-0.029458693959389215,0.09081243968522051,True,True,False,"Not coiled; No delivery edge; No fresh insider; Sector weak (b0.40, z+1.49)",0.238,0.1191,2025-12-05,Metals & Mining,0.4,1.4870700537079957,False,,0.49,True,1,73.7,True
PERSISTENT,EQ,6520.5,100.0,6551.3,6375.31,BREAKOUT,0.23,6221.5,5973.22,RECLAIM,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W",1.5371417326751429,1.4044699693638012,0.5569620253164558,1,199.16770000000002,,0.020242750884572825,False,True,0,0,0,0,0,0,True,True,,0.11185949356296354,0.0021842732327244097,0.10967522033023913,True,True,False,"Not coiled; No delivery edge; No fresh insider; Sector weak (b0.46, z+1.76)",0.238,0.1191,2025-12-05,Information Technology,0.4594594594594595,1.7563378160566137,False,,0.17,True,1,60.2,True
SHRIRAMFIN,EQ,854.9,100.0,860.8,827.03,BREAKOUT,0.23,826.44,774.49,RECLAIM,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W",2.4270157995129407,2.2242297595103584,0.12658227848101267,1,569.01405,,0.029631702956068408,False,True,0,0,0,0,0,0,True,True,,0.041164291803677866,-0.013679890560875485,0.05484418236455335,True,True,False,"Not coiled; No delivery edge; No fresh insider; Sector weak (b0.39, z+0.99)",0.238,0.1191,2025-12-05,Financial Services,0.3904761904761905,0.9941814956684314,False,,0.25,True,1,69.6,True
SILVER1,EQ,172.42,100.0,173.91,165.25,BREAKOUT,0.23,,,,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W",1.959845539103361,3.028204523059623,0.3417721518987342,1,12.0243,,0.03780221054899167,False,True,0,0,0,0,0,0,True,True,0.5854503464203228,0.17396336896575182,-0.026713124274099886,0.2006764932398517,True,True,False,"Not coiled; RR_HI55<0.8 (0.59); No delivery edge; No fresh insider; Sector weak (b0.31, z+0.47)",0.238,0.1191,2025-12-05,OTHER,0.31025641025641026,0.46680517026934765,False,,3.8,True,1,62.2,True
INDUSINDBK,EQ,870.1,98.7,877.99,843.81,BREAKOUT,0.33,851.38,805.71,RECLAIM,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W",1.7313093766839363,0.858878197974387,0.08860759493670889,1,328.4371,,0.027468107114124816,False,True,0,0,0,0,0,0,True,True,0.42012873025160874,0.08850941389879274,-0.013679890560875485,0.10218930445966823,True,True,False,"Not coiled; RR_HI55<0.8 (0.42); No delivery edge; No fresh insider; Sector weak (b0.39, z+0.99)",0.238,0.1191,2025-12-05,Financial Services,0.3904761904761905,0.9941814956684314,False,,2.56,True,1,67.5,True
GMRAIRPORT,EQ,103.51,97.5,104.36,100.68,BREAKOUT,0.33,,,,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W,BLOCK+",1.5437395916591587,0.9120545102027025,0.0,1,146.23250000000002,,0.02489062478435484,False,True,0,0,0,1,0,0,True,True,0.3070652173913037,0.08217459487715639,-0.03900867853627987,0.12118327341343627,True,True,False,"Not coiled; RR_HI55<0.8 (0.31); No delivery edge; No fresh insider; Sector weak (b0.20, z+0.09)",0.238,0.1191,2025-12-05,Services,0.2,0.08952421256643404,False,,1.91,True,1,64.9,True
