Symbol,Sector
20MICRONS,Chemicals
21STCENMGM,Financial Services
360ONE,Financial Services
3IINFOLTD,Information Technology
3MINDIA,Diversified
3PLAND,Realty
5PAISA,Financial Services
633GS2035,OTHER
63MOONS,Information Technology
667GS2050,OTHER
668GS2040,OTHER
676GS2061,OTHER
679GS2034,OTHER
679GS2034A,OTHER
68GS2060,OTHER
690GS2065,OTHER
695GS2061,OTHER
698GR2054,OTHER
699GS2051,OTHER
702GS2027,OTHER
704GS2029,OTHER
706GS2028,OTHER
709GS2054,OTHER
709GS2074,OTHER
710GS2029,OTHER
717GS2030,OTHER
718GS2037,OTHER
723GS2039,OTHER
724GS2055,OTHER
725GS2063,OTHER
726GS2032,OTHER
734GS2064,OTHER
737GS2028,OTHER
738GS2027,OTHER
73GS2053,OTHER
740IIFCL33,OTHER
741GS2036,OTHER
746GS2073,OTHER
74GS2062,OTHER
754GS2036,OTHER
772GS2055,OTHER
795GS2032,OTHER
824GS2027,OTHER
828GS2027,OTHER
897GS2030,OTHER
92GS2030,OTHER
A2ZINFRA,Construction
AAATECH,Information Technology
AADHARHFC,Financial Services
AAKAAR,OTHER
AAKASH,Healthcare
AARADHYA,OTHER
AAREYDRUGS,Healthcare
AARON,Capital Goods
AARTECH,Capital Goods
AARTIDRUGS,Healthcare
AARTIIND,Chemicals
AARTIPHARM,Healthcare
AARTISURF,Chemicals
AARVI,Industrial Products
AATMAJ,OTHER
AAVAS,Financial Services
ABAN,Oil Gas & Consumable Fuels
ABB,Capital Goods
ABBOTINDIA,Healthcare
ABCAPITAL,Financial Services
ABCOTS,Textiles
ABDL,Fast Moving Consumer Goods
ABFRL,Consumer Services
ABGSEC,OTHER
ABHAPOWER,OTHER
ABINFRA,Construction
ABLBL,Consumer Services
ABMINTLLTD,Capital Goods
ABREL,Forest Materials
ABSLAMC,Financial Services
ABSLBANETF,OTHER
ABSLLIQUID,OTHER
ABSLNN50ET,OTHER
ABSLPSE,OTHER
ABSMARINE,OTHER
ACC,Construction Materials
ACCELYA,IT - Software
ACCENTMIC,OTHER
ACCPL,OTHER
ACCURACY,Services
ACE,Capital Goods
ACEINTEG,Information Technology
ACI,Chemicals
ACL,Construction Materials
ACMESOLAR,Power
ACTIVEINFR,OTHER
ACUTAAS,Healthcare
ADANI-RE,OTHER
ADANIENSOL,Power
ADANIENT,Metals & Mining
ADANIGREEN,Power
ADANIPORTS,Services
ADANIPOWER,Power
ADFFOODS,Consumer Food
ADL,Consumer Durables
ADOR,Capital Goods
ADROITINFO,Information Technology
ADSL,Information Technology
ADVANCE,Chemicals
ADVANIHOTR,Consumer Services
ADVENTHTL,Consumer Services
ADVENZYMES,Healthcare
AEGISLOG,Oil Gas & Consumable Fuels
AEGISVOPAK,Oil Gas & Consumable Fuels
AEROENTER,Capital Goods
AEROFLEX,Capital Goods
AERON,OTHER
AERONEU,Capital Goods
AESTHETIK,OTHER
AETHER,Chemicals
AFCONS,Construction
AFFLE,Information Technology
AFFORDABLE,Capital Goods
AFIL,Financial Services
AFSL,Financial Services
AGARIND,Logistics
AGARWALEYE,Healthcare
AGARWALFT,OTHER
AGARWALTUF,OTHER
AGI,Capital Goods
AGIIL,Construction
AGNI,OTHER
AGRITECH,Agriculture
AGROPHOS,Fertilizers
AGSTRA,Information Technology
AHCL,OTHER
AHIMSA,OTHER
AHLADA,Diversified
AHLEAST,Consumer Services
AHLUCONT,Construction
AIAENG,Capital Goods
AIIL,Financial Services
AILIMITED,OTHER
AIMTRON,OTHER
AIRAN,Information Technology
AIROLAM,Consumer Durables
AIRTELPP,OTHER
AJANTPHARM,Healthcare
AJAXENGG,Capital Goods
AJMERA,Realty
AJOONI,Healthcare
AKANKSHA,OTHER
AKASH,Construction
AKG,Textiles
AKI,Capital Goods
AKIKO,OTHER
AKSHAR,Textiles
AKSHARCHEM,Chemicals
AKSHOPTFBR,Telecommunication
AKUMS,Healthcare
AKZOINDIA,Consumer Durables
ALANKIT,Finance - Others
ALBERTDAVD,Healthcare
ALCODIS,OTHER
ALEMBICLTD,Health Technology
ALICON,Producer Manufacturing
ALIVUS,Healthcare
ALKALI,Chemicals
ALKEM,Healthcare
ALKYLAMINE,Chemicals
ALLCARGO,Services
ALLDIGI,OTHER
ALLETEC,OTHER
ALLTIME,OTHER
ALMONDZ,Finance
ALOKINDS,Textiles
ALPA,Health Technology
ALPEXSOLAR,OTHER
ALPHA,OTHER
ALPHAETF,OTHER
ALPHAGEO,Industrial Services
ALPL30IETF,OTHER
ALPSINDUS,Process Industries
ALUWIND,OTHER
AMANTA,OTHER
AMBANIORGO,OTHER
AMBER,Consumer Durables
AMBEY,OTHER
AMBICAAGAR,OTHER
AMBIKCO,Process Industries
AMBUJACEM,Construction Materials
AMCL,OTHER
AMDIND,Producer Manufacturing
AMEYA,OTHER
AMJLAND,Finance
AMNPLST,Process Industries
AMRUTANJAN,Health Technology
ANANDRATHI,Financial Services
ANANTAM,OTHER
ANANTRAJ,Realty
ANDHRAPAP,Process Industries
ANDHRSUGAR,OTHER
ANGELONE,Financial Services
ANIKINDS,Distribution Services
ANKITMETAL,Non-Energy Minerals
ANLON,OTHER
ANMOL,Distribution Services
ANNAPURNA,OTHER
ANONDITA,OTHER
ANSALAPI,OTHER
ANTELOPUS,OTHER
ANTGRAPHIC,Process Industries
ANTHEM,OTHER
ANUHPHR,Health Technology
ANUP,Capital Goods
ANURAS,Chemicals
ANYA,OTHER
AONEGOLD,OTHER
AONELIQUID,OTHER
AONENIFTY,OTHER
AONETMMQ50,OTHER
AONETOTAL,OTHER
APARINDS,Capital Goods
APCL,Non-Energy Minerals
APCOTEXIND,Process Industries
APEX,Consumer Non-Durables
APEXECO,OTHER
APLAPOLLO,Capital Goods
APLLTD,Healthcare
APOLLO,Healthcare
APOLLOHOSP,Healthcare
APOLLOPIPE,Finance
