Symbol,Sector
20MICRONS,Chemicals
21STCENMGM,Financial Services
360ONE,Financial Services
3IINFOLTD,Information Technology
3MINDIA,Diversified
3PLAND,Realty
5PAISA,Financial Services
63MOONS,Information Technology
A2ZINFRA,Construction
AAATECH,Information Technology
AADHARHFC,Financial Services
AAKAAR,OTHER
AAKASH,Healthcare
AARADHYA,OTHER
AAREYDRUGS,Healthcare
AARON,Capital Goods
AARTECH,Capital Goods
AARTIDRUGS,Healthcare
AARTIIND,Chemicals
AARTIPHARM,Healthcare
AARTISURF,Chemicals
AARVI,Industrial Products
AATMAJ,OTHER
AAVAS,Financial Services
ABAN,Oil Gas & Consumable Fuels
ABB,Capital Goods
ABBOTINDIA,Healthcare
ABCAPITAL,Financial Services
ABCOTS,Textiles
ABDL,Fast Moving Consumer Goods
ABFRL,Consumer Services
ABHAPOWER,OTHER
ABINFRA,Construction
ABLBL,Consumer Services
ABMINTLLTD,Capital Goods
ABREL,Forest Materials
ABSLAMC,Financial Services
ABSMARINE,OTHER
ACC,Construction Materials
ACCELYA,IT - Software
ACCENTMIC,OTHER
ACCORD,OTHER
ACCPL,OTHER
ACCURACY,Services
ACE,Capital Goods
ACEINTEG,Information Technology
ACI,Chemicals
ACL,Construction Materials
ACMESOLAR,Power
ACTIVEINFR,OTHER
ACUTAAS,Healthcare
ADANIENSOL,Power
ADANIENT,Metals & Mining
ADANIGREEN,Power
ADANIPORTS,Services
ADANIPOWER,Power
ADFFOODS,Consumer Food
ADL,Consumer Durables
ADOR,Capital Goods
ADROITINFO,Information Technology
ADSL,Information Technology
ADVANCE,Chemicals
ADVANIHOTR,Consumer Services
ADVENTHTL,Consumer Services
ADVENZYMES,Healthcare
AEGISLOG,Oil Gas & Consumable Fuels
AEGISVOPAK,Oil Gas & Consumable Fuels
AEROENTER,Capital Goods
AEROFLEX,Capital Goods
AERON,OTHER
AERONEU,Capital Goods
AESTHETIK,OTHER
AETHER,Chemicals
AFCONS,Construction
AFFLE,Information Technology
AFFORDABLE,Capital Goods
AFIL,Financial Services
AFSL,Financial Services
AGARIND,Logistics
AGARWALEYE,Healthcare
AGARWALFT,OTHER
AGARWALTUF,OTHER
AGI,Capital Goods
AGIIL,Construction
AGNI,OTHER
AGRITECH,Agriculture
AGROPHOS,Fertilizers
AGSTRA,Information Technology
AGUL,OTHER
AHCL,OTHER
AHIMSA,OTHER
AHLADA,Diversified
AHLEAST,Consumer Services
AHLUCONT,Construction
AIAENG,Capital Goods
AIIL,Financial Services
AILIMITED,OTHER
AIMTRON,OTHER
AIRAN,Information Technology
AIROLAM,Consumer Durables
AISL,OTHER
AJANTPHARM,Healthcare
AJAXENGG,Capital Goods
AJMERA,Realty
AJOONI,Healthcare
AKANKSHA,OTHER
AKASH,Construction
AKG,Textiles
AKI,Capital Goods
AKIKO,OTHER
AKSHAR,Textiles
AKSHARCHEM,Chemicals
AKSHOPTFBR,Telecommunication
AKUMS,Healthcare
AKZOINDIA,Consumer Durables
ALANKIT,Finance - Others
ALBERTDAVD,Healthcare
ALCODIS,OTHER
ALEMBICLTD,Health Technology
ALICON,Producer Manufacturing
ALIVUS,Healthcare
ALKALI,Chemicals
ALKEM,Healthcare
ALKYLAMINE,Chemicals
ALLCARGO,Services
ALLDIGI,OTHER
ALLETEC,OTHER
ALLTIME,OTHER
ALMONDZ,Finance
ALOKINDS,Textiles
ALPA,Health Technology
ALPEXSOLAR,OTHER
ALPHAGEO,Industrial Services
ALPSINDUS,Process Industries
ALUWIND,OTHER
AMANTA,OTHER
AMBANIORGO,OTHER
AMBER,Consumer Durables
AMBEY,OTHER
AMBICAAGAR,OTHER
AMBIKCO,Process Industries
AMBUJACEM,Construction Materials
AMCL,OTHER
AMDIND,Producer Manufacturing
AMEYA,OTHER
AMIABLE,OTHER
AMJLAND,Finance
AMJUMBO,OTHER
AMNPLST,Process Industries
AMRUTANJAN,Health Technology
ANANDRATHI,Financial Services
ANANTRAJ,Realty
ANDHRAPAP,Process Industries
ANDHRSUGAR,OTHER
ANGELONE,Financial Services
ANIKINDS,Distribution Services
ANKITMETAL,Non-Energy Minerals
ANLON,OTHER
ANMOL,Distribution Services
ANNAPURNA,OTHER
ANONDITA,OTHER
ANSALAPI,OTHER
ANTELOPUS,OTHER
ANTGRAPHIC,Process Industries
ANTHEM,OTHER
ANUHPHR,Health Technology
ANUP,Capital Goods
ANURAS,Chemicals
ANYA,OTHER
APARINDS,Capital Goods
APCL,Non-Energy Minerals
APCOTEXIND,Process Industries
APEX,Consumer Non-Durables
APEXECO,OTHER
APLAPOLLO,Capital Goods
APLLTD,Healthcare
APOLLO,Healthcare
APOLLOHOSP,Healthcare
APOLLOPIPE,Finance
APOLLOTYRE,Automobile and Auto Components
APOLSINHOT,OTHER
APRAMEYA,OTHER
APS,OTHER
APTECHT,Commercial Services
APTUS,Financial Services
ARABIAN,OTHER
ARCHIDPLY,Producer Manufacturing
ARCHIES,Retail Trade
ARCIIL,OTHER
ARE&M,Automobile and Auto Components
ARENTERP,Non-Energy Minerals
ARFIN,Non-Energy Minerals
ARHAM,OTHER
ARIES,Process Industries
ARIHANTACA,OTHER
ARIHANTCAP,Finance
ARIHANTSUP,OTHER
ARISINFRA,OTHER
ARISTO,OTHER
ARKADE,OTHER
ARMANFIN,Finance
AROGRANITE,Non-Energy Minerals
ARROWGREEN,Process Industries
ARSHIYA,Commercial Services
ARSSBL,OTHER
ARTEMISMED,OTHER
ARTNIRMAN,Consumer Durables
ARUNAYA,OTHER
ARVEE,OTHER
ARVIND,Textiles
ARVINDFASN,Consumer Services
ARVINDPORT,OTHER
ARVSMART,Finance
ASAHIINDIA,Automobile and Auto Components
ASAHISONG,Process Industries
ASAL,Automobile and Auto Components
ASALCBR,OTHER
ASCOM,OTHER
ASHALOG,OTHER
ASHAPURMIN,Non-Energy Minerals
